UnionSize,Weighted,TestNum,Time
5000,1,1,0.029145
5000,1,2,0.018245
5000,1,3,0.015300
5000,1,4,0.016933
5000,1,5,0.015249
5000,1,6,0.015907
5000,1,7,0.015368
5000,1,8,0.014750
5000,1,9,0.013903
5000,1,10,0.013917
5000,1,11,0.014578
5000,1,12,0.019986
5000,1,13,0.014626
5000,1,14,0.014712
5000,1,15,0.014559
5000,1,16,0.014492
5000,1,17,0.014652
5000,1,18,0.014517
5000,1,19,0.015989
5000,1,20,0.015497
5000,1,21,0.014497
5000,1,22,0.015787
5000,1,23,0.014736
5000,1,24,0.015937
5000,1,25,0.015192
5000,1,26,0.017451
5000,1,27,0.014388
5000,1,28,0.013674
5000,1,29,0.013964
5000,1,30,0.014370
5000,1,31,0.018410
5000,1,32,0.014600
5000,1,33,0.016789
5000,1,34,0.014982
5000,1,35,0.017392
5000,1,36,0.017949
5000,1,37,0.017150
5000,1,38,0.015982
5000,1,39,0.013974
5000,1,40,0.016392
5000,1,41,0.014758
5000,1,42,0.014698
5000,1,43,0.015035
5000,1,44,0.014738
5000,1,45,0.014748
5000,1,46,0.014725
5000,1,47,0.014516
5000,1,48,0.013946
5000,1,49,0.014523
5000,1,50,0.014570
5000,0,1,0.014894
5000,0,2,0.019716
5000,0,3,0.018196
5000,0,4,0.017814
5000,0,5,0.016927
5000,0,6,0.021848
5000,0,7,0.018412
5000,0,8,0.018280
5000,0,9,0.019309
5000,0,10,0.016582
5000,0,11,0.017646
5000,0,12,0.021711
5000,0,13,0.018002
5000,0,14,0.017707
5000,0,15,0.020705
5000,0,16,0.016575
5000,0,17,0.017788
5000,0,18,0.017715
5000,0,19,0.017666
5000,0,20,0.022148
5000,0,21,0.017918
5000,0,22,0.017617
5000,0,23,0.020991
5000,0,24,0.016214
5000,0,25,0.022262
5000,0,26,0.017947
5000,0,27,0.017974
5000,0,28,0.019392
5000,0,29,0.017776
5000,0,30,0.016222
5000,0,31,0.018987
5000,0,32,0.020142
5000,0,33,0.021144
5000,0,34,0.019214
5000,0,35,0.016134
5000,0,36,0.017226
5000,0,37,0.018958
5000,0,38,0.016620
5000,0,39,0.017879
5000,0,40,0.020332
5000,0,41,0.022480
5000,0,42,0.021145
5000,0,43,0.022186
5000,0,44,0.017206
5000,0,45,0.019067
5000,0,46,0.022079
5000,0,47,0.022038
5000,0,48,0.017840
5000,0,49,0.020657
5000,0,50,0.017646
10000,1,1,0.042582
10000,1,2,0.028663
10000,1,3,0.031971
10000,1,4,0.044983
10000,1,5,0.034694
10000,1,6,0.032196
10000,1,7,0.031841
10000,1,8,0.035919
10000,1,9,0.029646
10000,1,10,0.034177
10000,1,11,0.037668
10000,1,12,0.030217
10000,1,13,0.029184
10000,1,14,0.029206
10000,1,15,0.030738
10000,1,16,0.029467
10000,1,17,0.030067
10000,1,18,0.029161
10000,1,19,0.028961
10000,1,20,0.029111
10000,1,21,0.032854
10000,1,22,0.029645
10000,1,23,0.026012
10000,1,24,0.030248
10000,1,25,0.030011
10000,1,26,0.032038
10000,1,27,0.039103
10000,1,28,0.043532
10000,1,29,0.043664
10000,1,30,0.044932
10000,1,31,0.042942
10000,1,32,0.034662
10000,1,33,0.034343
10000,1,34,0.037911
10000,1,35,0.038638
10000,1,36,0.043274
10000,1,37,0.032402
10000,1,38,0.034705
10000,1,39,0.040896
10000,1,40,0.042115
10000,1,41,0.040567
10000,1,42,0.040469
10000,1,43,0.042691
10000,1,44,0.033218
10000,1,45,0.046854
10000,1,46,0.038093
10000,1,47,0.037665
10000,1,48,0.037981
10000,1,49,0.039504
10000,1,50,0.036129
10000,0,1,0.036502
10000,0,2,0.042233
10000,0,3,0.034230
10000,0,4,0.043676
10000,0,5,0.042034
10000,0,6,0.043124
10000,0,7,0.065960
10000,0,8,0.045921
10000,0,9,0.043126
10000,0,10,0.040645
10000,0,11,0.039057
10000,0,12,0.035561
10000,0,13,0.038405
10000,0,14,0.039925
10000,0,15,0.040522
10000,0,16,0.045462
10000,0,17,0.040760
10000,0,18,0.043808
10000,0,19,0.042378
10000,0,20,0.039927
10000,0,21,0.039377
10000,0,22,0.038906
10000,0,23,0.039885
10000,0,24,0.039110
10000,0,25,0.039224
10000,0,26,0.037781
10000,0,27,0.040277
10000,0,28,0.036353
10000,0,29,0.034326
10000,0,30,0.036403
10000,0,31,0.037263
10000,0,32,0.040185
10000,0,33,0.034017
10000,0,34,0.032945
10000,0,35,0.037801
10000,0,36,0.040484
10000,0,37,0.038635
10000,0,38,0.040196
10000,0,39,0.035495
10000,0,40,0.035457
10000,0,41,0.043136
10000,0,42,0.036782
10000,0,43,0.033838
10000,0,44,0.040527
10000,0,45,0.043730
10000,0,46,0.042969
10000,0,47,0.032777
10000,0,48,0.039381
10000,0,49,0.036461
10000,0,50,0.041630
15000,1,1,0.075598
15000,1,2,0.043178
15000,1,3,0.044344
15000,1,4,0.043740
15000,1,5,0.043026
15000,1,6,0.051463
15000,1,7,0.049304
15000,1,8,0.043672
15000,1,9,0.043531
15000,1,10,0.043098
15000,1,11,0.047375
15000,1,12,0.044011
15000,1,13,0.043515
15000,1,14,0.044367
15000,1,15,0.043713
15000,1,16,0.045830
15000,1,17,0.045896
15000,1,18,0.060429
15000,1,19,0.065484
15000,1,20,0.061768
15000,1,21,0.059340
15000,1,22,0.064558
15000,1,23,0.058177
15000,1,24,0.061369
15000,1,25,0.053333
15000,1,26,0.053554
15000,1,27,0.048920
15000,1,28,0.063202
15000,1,29,0.053495
15000,1,30,0.048980
15000,1,31,0.064580
15000,1,32,0.059872
15000,1,33,0.061006
15000,1,34,0.063609
15000,1,35,0.055884
15000,1,36,0.062907
15000,1,37,0.049514
15000,1,38,0.056601
15000,1,39,0.072843
15000,1,40,0.065495
15000,1,41,0.060148
15000,1,42,0.060835
15000,1,43,0.056947
15000,1,44,0.059191
15000,1,45,0.061445
15000,1,46,0.063235
15000,1,47,0.060673
15000,1,48,0.059921
15000,1,49,0.064529
15000,1,50,0.060844
15000,0,1,0.060209
15000,0,2,0.060011
15000,0,3,0.062408
15000,0,4,0.052550
15000,0,5,0.063528
15000,0,6,0.055621
15000,0,7,0.055274
15000,0,8,0.053215
15000,0,9,0.058172
15000,0,10,0.049572
15000,0,11,0.061810
15000,0,12,0.060006
15000,0,13,0.057947
15000,0,14,0.053392
15000,0,15,0.055906
15000,0,16,0.056449
15000,0,17,0.050105
15000,0,18,0.055280
15000,0,19,0.055611
15000,0,20,0.052402
15000,0,21,0.048646
15000,0,22,0.051345
15000,0,23,0.058272
15000,0,24,0.051868
15000,0,25,0.053930
15000,0,26,0.048820
15000,0,27,0.061099
15000,0,28,0.057438
15000,0,29,0.058537
15000,0,30,0.055223
15000,0,31,0.054150
