UnionSize,Weighted,TestNum,Time
5000,1,1,0.000248
5000,1,2,0.000280
5000,1,3,0.000281
5000,1,4,0.000282
5000,1,5,0.000278
5000,1,6,0.000278
5000,1,7,0.000278
5000,1,8,0.000279
5000,1,9,0.000280
5000,1,10,0.000277
5000,1,11,0.000283
5000,1,12,0.000279
5000,1,13,0.000188
5000,1,14,0.000187
5000,1,15,0.000187
5000,1,16,0.000184
5000,1,17,0.000188
5000,1,18,0.000191
5000,1,19,0.000192
5000,1,20,0.000187
5000,1,21,0.000188
5000,1,22,0.000190
5000,1,23,0.000188
5000,1,24,0.000190
5000,1,25,0.000191
5000,1,26,0.000190
5000,1,27,0.000191
5000,1,28,0.000196
5000,1,29,0.000192
5000,1,30,0.000192
5000,1,31,0.000271
5000,1,32,0.000190
5000,1,33,0.000197
5000,1,34,0.000191
5000,1,35,0.000193
5000,1,36,0.000195
5000,1,37,0.000194
5000,1,38,0.000194
5000,1,39,0.000193
5000,1,40,0.000196
5000,1,41,0.000195
5000,1,42,0.000192
5000,1,43,0.000192
5000,1,44,0.000198
5000,1,45,0.000195
5000,1,46,0.000211
5000,1,47,0.000211
5000,1,48,0.000209
5000,1,49,0.000218
5000,1,50,0.000207
5000,0,1,0.000203
5000,0,2,0.000170
5000,0,3,0.000189
5000,0,4,0.000192
5000,0,5,0.000178
5000,0,6,0.000313
5000,0,7,0.000172
5000,0,8,0.000166
5000,0,9,0.000168
5000,0,10,0.000258
5000,0,11,0.000275
5000,0,12,0.000262
5000,0,13,0.000257
5000,0,14,0.000173
5000,0,15,0.000172
5000,0,16,0.000167
5000,0,17,0.000176
5000,0,18,0.000173
5000,0,19,0.000245
5000,0,20,0.000243
5000,0,21,0.000246
5000,0,22,0.000245
5000,0,23,0.000247
5000,0,24,0.000250
5000,0,25,0.000249
5000,0,26,0.000247
5000,0,27,0.000243
5000,0,28,0.000244
5000,0,29,0.000252
5000,0,30,0.000249
5000,0,31,0.000247
5000,0,32,0.000243
5000,0,33,0.000244
5000,0,34,0.000244
5000,0,35,0.000245
5000,0,36,0.000242
5000,0,37,0.000246
5000,0,38,0.000241
5000,0,39,0.000244
5000,0,40,0.000248
5000,0,41,0.000246
5000,0,42,0.000243
5000,0,43,0.000245
5000,0,44,0.000252
5000,0,45,0.000249
5000,0,46,0.000243
5000,0,47,0.000241
5000,0,48,0.000243
5000,0,49,0.000244
5000,0,50,0.000244
10000,1,1,0.000443
10000,1,2,0.000451
10000,1,3,0.000429
10000,1,4,0.000434
10000,1,5,0.000513
10000,1,6,0.000585
10000,1,7,0.000578
10000,1,8,0.000580
10000,1,9,0.000602
10000,1,10,0.000603
10000,1,11,0.000574
10000,1,12,0.000578
10000,1,13,0.000583
10000,1,14,0.000575
10000,1,15,0.000580
10000,1,16,0.000583
10000,1,17,0.000585
10000,1,18,0.000575
10000,1,19,0.000473
10000,1,20,0.000582
10000,1,21,0.000576
10000,1,22,0.000585
10000,1,23,0.000575
10000,1,24,0.000563
10000,1,25,0.000441
10000,1,26,0.000427
10000,1,27,0.000437
10000,1,28,0.000432
10000,1,29,0.000400
10000,1,30,0.000434
10000,1,31,0.000420
10000,1,32,0.000449
10000,1,33,0.000425
10000,1,34,0.000418
10000,1,35,0.000442
10000,1,36,0.000445
10000,1,37,0.000527
10000,1,38,0.000525
10000,1,39,0.000527
10000,1,40,0.000529
10000,1,41,0.000524
10000,1,42,0.000531
10000,1,43,0.000527
10000,1,44,0.000543
10000,1,45,0.000517
10000,1,46,0.000520
10000,1,47,0.000531
10000,1,48,0.000471
10000,1,49,0.000449
10000,1,50,0.000431
10000,0,1,0.000325
10000,0,2,0.000495
10000,0,3,0.000501
10000,0,4,0.000494
10000,0,5,0.000501
10000,0,6,0.000499
10000,0,7,0.000500
10000,0,8,0.000502
10000,0,9,0.000498
10000,0,10,0.000495
10000,0,11,0.000505
10000,0,12,0.000496
10000,0,13,0.000480
10000,0,14,0.000509
10000,0,15,0.000513
10000,0,16,0.000518
10000,0,17,0.000356
10000,0,18,0.000338
10000,0,19,0.000332
10000,0,20,0.000326
10000,0,21,0.000337
10000,0,22,0.000332
10000,0,23,0.000347
10000,0,24,0.000333
10000,0,25,0.000347
10000,0,26,0.000345
10000,0,27,0.000331
10000,0,28,0.000329
10000,0,29,0.000327
10000,0,30,0.000332
10000,0,31,0.000332
10000,0,32,0.000333
10000,0,33,0.000339
10000,0,34,0.000335
10000,0,35,0.000340
10000,0,36,0.000339
10000,0,37,0.000335
10000,0,38,0.000343
10000,0,39,0.000350
10000,0,40,0.000351
10000,0,41,0.000347
10000,0,42,0.000367
10000,0,43,0.000396
10000,0,44,0.000354
10000,0,45,0.000342
10000,0,46,0.000351
10000,0,47,0.000407
10000,0,48,0.000334
10000,0,49,0.000334
10000,0,50,0.000332
15000,1,1,0.000567
15000,1,2,0.000619
15000,1,3,0.000617
15000,1,4,0.000621
15000,1,5,0.000615
15000,1,6,0.000585
15000,1,7,0.000593
15000,1,8,0.000624
15000,1,9,0.000607
15000,1,10,0.000581
15000,1,11,0.000587
15000,1,12,0.000610
15000,1,13,0.000594
15000,1,14,0.000621
15000,1,15,0.000593
15000,1,16,0.000609
15000,1,17,0.000620
15000,1,18,0.000635
15000,1,19,0.000594
15000,1,20,0.000636
15000,1,21,0.000605
15000,1,22,0.000570
15000,1,23,0.000585
15000,1,24,0.000578
15000,1,25,0.000584
15000,1,26,0.000570
